"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FRYL",-0.0660481697312241,7.62776623730429,-1.19669810868155,0.232797399258244,0.272068418652248,-6.70185848049683
"TCAF1",-0.0609267966441713,4.87468445960604,-1.19627349482347,0.232962639883282,0.272226344472632,-6.70236366034091
"MUC15",0.148397480202292,6.08598393251032,1.19520914205742,0.233398676808941,0.272700625100754,-6.70361389531639
"TNFAIP6",0.179834444457337,5.86553027538357,1.19421762722425,0.233791286751882,0.27312405007414,-6.70478752489233
"PTGDR",-0.0699110453025593,5.80233567432932,-1.19231926690409,0.234505472388136,0.273922994297304,-6.70705967115019
"UPK1B",0.144946505487113,4.45990071529986,1.18878873290257,0.235909857151067,0.275502733123854,-6.71122449793989
"TOX3",0.0697914113980991,4.69647301754476,1.18871313178318,0.235918831970455,0.275502733123854,-6.7113289202098
"DOC2A",0.0631462385658503,5.24991773946814,1.18769702580467,0.236318170278345,0.275933433744868,-6.712529569413
"C15orf48",0.075219776738793,4.83565679344039,1.18750775278474,0.236392609355924,0.275984708314426,-6.7127531059428
"GFUS",-0.054592771097969,7.31283791905576,-1.18742263523134,0.236426090633414,0.275988158220361,-6.71285362060899
"CDK17",-0.0521159886614155,6.96659675694235,-1.18715563611356,0.236531137553678,0.276075137441622,-6.71316887170949
"CISD1",0.0560622145914511,6.39956965221782,1.18687120094812,0.236643080996296,0.276170142672971,-6.71350463296585
"OR4F29",-0.134826323722589,4.92257720955879,-1.18646841438155,0.236819590250349,0.276340464049227,-6.71396685574431
"LHFPL6",-0.0757529123397447,8.69458197728093,-1.18526189687813,0.237277155762537,0.276838658568731,-6.71540283985148
"ARL5B",-0.0576777524961471,7.17364644843592,-1.18392984246479,0.237802906541187,0.277416268134048,-6.71697210334656
"HSPA9",-0.0660833580870896,8.81972215787944,-1.18367321693334,0.237904289634631,0.277493843459341,-6.71727422816244
"BMP6",-0.080390771320948,6.80028554319951,-1.18360615022945,0.237930790233028,0.277493843459341,-6.71735317503386
"MS4A6E",0.0932847270955399,3.46599768974428,1.18318105040297,0.238100177819754,0.277655579474835,-6.71785246548141
"HAPLN4",-0.0584325003742148,6.3608329182573,-1.18245109573465,0.238387525587928,0.277954812850201,-6.71871214295231
"CD34",0.10275004817918,7.59190511347952,1.18041830724197,0.23919839300857,0.278864303183815,-6.7210964945022
"MFSD4A",0.0655564638125536,6.28784654146668,1.17909359294227,0.239718698680172,0.27943485749967,-6.72265494721429
"NAPB",0.0491647946474032,6.02409872413062,1.17513980615516,0.241293042679611,0.281233775798165,-6.72728380152141
"SNORD114-26",-0.0721571727867829,3.71615635531262,-1.17053749146424,0.243134839697286,0.28334391411487,-6.73265259150763
"CYCS",-0.0570942036131017,6.77399603184345,-1.17026700754173,0.2432433933015,0.283433885660376,-6.73296747538889
"SCOC",0.0520703773072553,6.06490339055155,1.1688267206818,0.243822002941443,0.284071485643503,-6.73464297623876
"FGFR3",-0.0657669771174634,5.78641522076582,-1.1685711895058,0.243924759678772,0.284154587328408,-6.73494002567727
"BRS3",-0.0608137132264432,3.06027286770087,-1.16804560604628,0.244136208833124,0.284364270041262,-6.73555080354175
